"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","associate's degree","free/reduced","none","74","86","82"
"female","group D","some college","free/reduced","none","44","49","53"
"male","group D","some high school","free/reduced","none","54","46","43"
"female","group B","bachelor's degree","standard","none","88","95","92"
"male","group C","master's degree","standard","completed","85","81","81"
"female","group D","bachelor's degree","free/reduced","completed","81","85","86"
"male","group D","associate's degree","standard","none","82","74","69"
"female","group C","some high school","standard","none","65","75","72"
"male","group C","associate's degree","standard","none","73","69","69"
"male","group B","some high school","free/reduced","none","54","54","48"
"male","group C","some high school","standard","none","63","67","59"
"male","group B","some college","free/reduced","none","61","65","60"
"female","group C","some high school","free/reduced","completed","43","53","47"
"female","group A","some college","standard","none","51","67","66"
"male","group B","high school","standard","completed","49","45","50"
"male","group C","some college","standard","none","82","82","72"
"male","group E","high school","free/reduced","none","79","70","64"
"male","group D","master's degree","free/reduced","none","55","58","52"
"male","group C","bachelor's degree","free/reduced","none","41","36","37"
"female","group B","some college","standard","none","55","71","64"
"female","group A","master's degree","free/reduced","completed","90","100","99"
"female","group C","associate's degree","standard","completed","93","96","94"
"male","group C","associate's degree","free/reduced","completed","45","54","53"
"male","group E","master's degree","standard","none","79","70","64"
"female","group E","associate's degree","standard","none","52","66","60"
"male","group C","some college","free/reduced","none","62","60","54"
"female","group C","bachelor's degree","standard","completed","69","79","78"
"male","group C","some college","free/reduced","completed","66","68","66"
"female","group B","some high school","free/reduced","completed","27","53","53"
"female","group C","high school","standard","completed","64","73","71"
"male","group B","high school","free/reduced","none","46","40","36"
"female","group E","high school","standard","completed","67","81","85"
"female","group D","high school","standard","none","86","93","94"
"female","group C","master's degree","standard","none","55","68","68"
"female","group E","bachelor's degree","standard","completed","96","84","98"
"female","group D","high school","free/reduced","none","56","72","68"
"female","group D","some college","free/reduced","completed","77","86","90"
"male","group D","some college","free/reduced","none","45","43","40"
"male","group B","master's degree","free/reduced","none","64","62","59"
"female","group C","associate's degree","free/reduced","completed","61","76","78"
"male","group E","associate's degree","free/reduced","completed","59","51","48"
"female","group A","master's degree","free/reduced","none","37","54","53"
"female","group D","some high school","standard","completed","90","100","100"
"female","group B","some high school","standard","completed","62","72","70"
"female","group B","high school","free/reduced","none","53","66","54"
"male","group B","high school","standard","completed","75","66","66"
"male","group B","some college","free/reduced","none","46","33","30"
"male","group D","some college","free/reduced","none","59","60","52"
"male","group E","high school","standard","none","85","76","69"
"male","group C","high school","free/reduced","completed","48","56","57"
"female","group E","some high school","standard","none","71","73","70"
"female","group C","master's degree","standard","none","71","83","80"
"female","group C","some high school","standard","completed","62","79","80"
"female","group A","associate's degree","standard","none","91","97","97"
"female","group D","some college","free/reduced","none","49","65","62"
"female","group B","bachelor's degree","standard","none","69","88","83"
"female","group D","associate's degree","standard","completed","62","74","71"
"male","group B","some college","standard","none","62","62","55"
"female","group E","some high school","standard","completed","76","81","87"
"female","group E","bachelor's degree","free/reduced","none","57","73","75"
"female","group D","master's degree","standard","none","68","78","76"
"male","group A","associate's degree","free/reduced","none","46","50","45"
"male","group B","high school","standard","completed","72","64","67"
"male","group B","some high school","standard","none","65","51","53"
"female","group B","master's degree","standard","completed","83","100","100"
"female","group C","some college","free/reduced","none","43","53","54"
"male","group C","associate's degree","standard","none","60","60","53"
"male","group C","some college","free/reduced","none","54","56","52"
"female","group D","associate's degree","free/reduced","none","40","53","54"
"male","group B","bachelor's degree","standard","completed","100","92","94"
"female","group D","some high school","standard","completed","69","77","79"
"male","group B","bachelor's degree","standard","completed","74","72","76"
"female","group A","bachelor's degree","standard","none","79","91","90"
"female","group C","associate's degree","standard","none","57","70","67"
"male","group C","master's degree","standard","none","62","52","51"
"male","group D","some college","free/reduced","none","73","60","64"
"female","group C","some college","standard","none","62","76","66"
"male","group B","some college","standard","none","58","59","51"
"male","group C","bachelor's degree","free/reduced","completed","72","70","76"
"female","group C","some college","standard","completed","68","76","74"
"male","group A","high school","standard","none","73","66","64"
"male","group D","some college","standard","none","65","71","75"
"male","group C","some high school","free/reduced","completed","70","81","75"
"male","group C","master's degree","standard","none","66","61","63"
"male","group C","some college","standard","completed","66","59","60"
"female","group C","some college","standard","none","64","85","75"
"male","group C","high school","standard","none","71","67","61"
"female","group C","bachelor's degree","free/reduced","completed","66","64","76"
"male","group C","some college","standard","none","67","65","62"
"male","group B","some college","free/reduced","none","61","53","47"
"female","group B","some college","free/reduced","completed","71","90","94"
"male","group B","some high school","free/reduced","completed","58","65","63"
"female","group E","some high school","standard","completed","86","85","89"
"male","group D","master's degree","standard","completed","71","62","73"
"female","group D","high school","free/reduced","none","48","55","54"
"male","group C","bachelor's degree","free/reduced","none","73","85","78"
"female","group A","bachelor's degree","standard","completed","66","64","69"
"female","group A","some high school","free/reduced","completed","74","86","84"
"female","group D","high school","standard","completed","58","56","60"
"female","group D","master's degree","standard","completed","76","87","99"
